tafel_nr,wijk,begin_tijd,volg_nr,eind_tijd,servicetype
1,1,2019-01-15 14:08:50,0,2019-02-03 12:10:07,betalen
1,1,2019-01-15 14:37:02,0,2019-02-03 12:10:07,betalen
2,1,2019-01-15 15:01:22,1,2019-02-03 12:30:50,eten
10,1,2019-01-15 16:21:37,0,2019-02-02 12:37:23,eten
1,1,2019-01-16 07:32:45,0,2019-02-03 12:10:07,betalen
1,1,2019-01-16 08:13:35,0,2019-02-03 12:10:07,betalen
3,1,2019-01-16 08:13:55,0,2019-02-02 15:03:39,drinken
103,1,2019-01-16 08:13:59,1,2019-02-02 14:17:06,drinken
5,1,2019-01-16 08:14:06,0,2019-02-02 15:19:35,drinken
3,1,2019-01-16 08:55:43,0,2019-02-02 15:03:39,drinken
105,1,2019-01-16 09:11:10,0,2019-02-03 13:57:34,drinken
3,1,2019-01-16 09:13:13,0,2019-02-02 15:03:39,drinken
107,1,2019-01-16 09:17:29,0,2019-02-03 13:57:33,drinken
105,1,2019-01-16 09:21:35,0,2019-02-03 13:57:34,drinken
107,1,2019-01-16 09:22:56,0,2019-02-03 13:57:33,drinken
5,1,2019-01-16 09:23:34,0,2019-02-02 15:19:35,drinken
107,1,2019-01-16 09:28:50,0,2019-02-03 13:57:33,drinken
8,1,2019-01-16 09:29:04,0,2019-02-03 13:47:28,eten
3,1,2019-01-16 09:31:54,0,2019-02-02 15:03:39,drinken
8,1,2019-01-16 09:35:47,0,2019-02-03 13:47:28,eten
107,1,2019-01-16 09:35:50,0,2019-02-03 13:57:33,drinken
107,1,2019-01-16 09:40:56,0,2019-02-03 13:57:33,drinken
10,1,2019-01-16 09:48:11,0,2019-02-02 12:37:23,eten
2,1,2019-01-16 09:49:57,1,2019-02-03 12:30:50,eten
107,1,2019-01-16 09:52:55,0,2019-02-03 13:57:33,drinken
9,1,2019-01-16 09:54:51,0,2019-02-02 14:38:07,drinken
13,1,2019-01-16 09:58:45,0,2019-02-03 13:47:24,eten
14,1,2019-01-16 09:58:59,1,2019-02-03 16:21:03,eten
9,1,2019-01-16 10:33:14,0,2019-02-02 14:38:07,drinken
6,1,2019-01-16 10:33:31,0,2019-02-02 11:52:56,drinken
3,1,2019-01-16 10:36:22,0,2019-02-02 15:03:39,drinken
13,1,2019-01-16 10:52:34,0,2019-02-03 13:47:24,eten
1,1,2019-01-16 11:07:36,0,2019-02-03 12:10:07,betalen
13,1,2019-01-16 11:07:41,0,2019-02-03 13:47:24,eten
2,1,2019-01-16 11:20:31,1,2019-02-03 12:30:50,eten
103,1,2019-01-16 11:22:23,1,2019-02-02 14:17:06,drinken
2,1,2019-01-16 11:32:11,1,2019-02-03 12:30:50,eten
13,1,2019-01-16 11:44:22,0,2019-02-03 13:47:24,eten
5,1,2019-01-16 11:49:32,0,2019-02-02 15:19:35,drinken
103,1,2019-01-16 11:51:06,1,2019-02-02 14:17:06,drinken
2,1,2019-01-16 11:53:46,1,2019-02-03 12:30:50,eten
2,1,2019-01-16 12:21:43,1,2019-02-03 12:30:50,eten
6,1,2019-01-16 12:29:32,0,2019-02-02 11:52:56,drinken
6,1,2019-01-16 12:36:44,0,2019-02-02 11:52:56,drinken
1,1,2019-01-16 13:10:25,0,2019-02-03 12:10:07,betalen
3,1,2019-01-16 13:12:30,0,2019-02-02 15:03:39,drinken
1,1,2019-01-16 13:23:53,0,2019-02-03 12:10:07,betalen
6,1,2019-01-16 13:31:09,0,2019-02-02 11:52:56,drinken
109,1,2019-01-16 13:41:07,0,2019-02-03 16:41:44,eten
109,1,2019-01-16 14:11:57,0,2019-02-03 16:41:44,eten
103,1,2019-01-16 14:12:41,1,2019-02-02 14:17:06,drinken
109,1,2019-01-16 14:38:44,0,2019-02-03 16:41:44,eten
1,1,2019-01-16 14:54:43,0,2019-02-03 12:10:07,betalen
11,1,2019-01-16 14:59:05,0,2019-02-03 13:47:26,eten
14,1,2019-01-16 15:03:38,1,2019-02-03 16:21:03,eten
11,1,2019-01-16 15:40:58,0,2019-02-03 13:47:26,eten
1,1,2019-01-17 09:10:38,0,2019-02-03 12:10:07,betalen
107,1,2019-01-17 10:27:25,0,2019-02-03 13:57:33,drinken
107,1,2019-01-17 11:16:36,0,2019-02-03 13:57:33,drinken
6,1,2019-01-17 11:31:02,0,2019-02-02 11:52:56,drinken
105,1,2019-01-17 11:50:20,0,2019-02-03 13:57:34,drinken
107,1,2019-01-17 12:03:08,0,2019-02-03 13:57:33,drinken
2,1,2019-01-17 12:05:39,1,2019-02-03 12:30:50,eten
109,1,2019-01-17 12:36:20,0,2019-02-03 16:41:44,eten
1,1,2019-01-17 13:39:30,0,2019-02-03 12:10:07,betalen
1,1,2019-01-17 14:15:23,0,2019-02-03 12:10:07,betalen
1,1,2019-01-17 14:58:46,0,2019-02-03 12:10:07,betalen
1,1,2019-01-17 15:13:38,0,2019-02-03 12:10:07,betalen
105,1,2019-01-18 09:37:18,0,2019-02-03 13:57:34,drinken
105,1,2019-01-18 10:55:33,0,2019-02-03 13:57:34,drinken
12,1,2019-01-18 10:56:30,0,2019-02-02 13:28:43,drinken
13,1,2019-01-18 11:32:23,0,2019-02-03 13:47:24,eten
107,1,2019-01-18 11:48:13,0,2019-02-03 13:57:33,drinken
13,1,2019-01-18 11:48:55,0,2019-02-03 13:47:24,eten
2,1,2019-01-18 11:58:44,1,2019-02-03 12:30:50,eten
1,1,2019-01-18 12:03:12,0,2019-02-03 12:10:07,betalen
105,1,2019-01-18 12:06:40,0,2019-02-03 13:57:34,drinken
109,1,2019-01-18 12:11:52,0,2019-02-03 16:41:44,eten
9,1,2019-01-18 12:32:18,0,2019-02-02 14:38:07,drinken
8,1,2019-01-18 12:32:25,0,2019-02-03 13:47:28,eten
109,1,2019-01-18 12:32:28,0,2019-02-03 16:41:44,eten
5,1,2019-01-18 12:44:06,0,2019-02-02 15:19:35,drinken
2,1,2019-01-18 12:52:20,1,2019-02-03 12:30:50,eten
4,1,2019-01-18 13:01:35,0,2019-02-03 12:40:44,drinken
109,1,2019-01-18 13:11:02,0,2019-02-03 16:41:44,eten
1,1,2019-01-18 13:16:04,0,2019-02-03 12:10:07,betalen
1,1,2019-01-18 13:28:38,0,2019-02-03 12:10:07,betalen
4,1,2019-01-18 13:42:43,0,2019-02-03 12:40:44,drinken
8,1,2019-01-18 13:58:38,0,2019-02-03 13:47:28,eten
107,1,2019-01-18 14:01:57,0,2019-02-03 13:57:33,drinken
14,1,2019-01-18 14:14:14,1,2019-02-03 16:21:03,eten
3,1,2019-01-18 14:28:44,0,2019-02-02 15:03:39,drinken
7,1,2019-01-18 14:29:43,0,2019-02-04 15:43:16,drinken
6,1,2019-01-18 14:43:02,0,2019-02-02 11:52:56,drinken
105,1,2019-01-18 14:45:06,0,2019-02-03 13:57:34,drinken
2,1,2019-01-18 15:27:42,1,2019-02-03 12:30:50,eten
109,1,2019-01-18 15:30:32,0,2019-02-03 16:41:44,eten
107,1,2019-01-18 15:31:25,0,2019-02-03 13:57:33,drinken
8,1,2019-01-18 15:33:03,0,2019-02-03 13:47:28,eten
3,1,2019-01-18 15:34:51,0,2019-02-02 15:03:39,drinken
10,1,2019-01-18 18:35:24,0,2019-02-02 12:37:23,eten
14,1,2019-01-18 18:38:13,1,2019-02-03 16:21:03,eten
109,1,2019-01-18 18:38:16,0,2019-02-03 16:41:44,eten
107,1,2019-01-18 18:42:47,0,2019-02-03 13:57:33,drinken
13,1,2019-01-18 18:43:32,0,2019-02-03 13:47:24,eten
14,1,2019-01-18 18:43:37,1,2019-02-03 16:21:03,eten
10,1,2019-01-18 18:46:51,0,2019-02-02 12:37:23,eten
3,1,2019-01-18 20:59:02,0,2019-02-02 15:03:39,drinken
103,1,2019-01-18 21:00:06,1,2019-02-02 14:17:06,drinken
3,1,2019-01-18 21:10:38,0,2019-02-02 15:03:39,drinken
105,1,2019-01-18 21:10:45,0,2019-02-03 13:57:34,drinken
2,1,2019-01-19 07:08:33,1,2019-02-03 12:30:50,eten
12,1,2019-01-19 07:40:35,0,2019-02-02 13:28:43,drinken
109,1,2019-01-19 07:41:00,0,2019-02-03 16:41:44,eten
1,1,2019-01-19 07:46:31,0,2019-02-03 12:10:07,betalen
12,1,2019-01-19 07:58:49,0,2019-02-02 13:28:43,drinken
1,1,2019-01-19 08:00:15,0,2019-02-03 12:10:07,betalen
1,1,2019-01-19 08:06:03,0,2019-02-03 12:10:07,betalen
1,1,2019-01-19 08:18:40,0,2019-02-03 12:10:07,betalen
12,1,2019-01-19 08:19:47,0,2019-02-02 13:28:43,drinken
103,1,2019-01-19 08:22:15,1,2019-02-02 14:17:06,drinken
2,1,2019-01-19 08:28:24,1,2019-02-03 12:30:50,eten
13,1,2019-01-19 08:30:27,0,2019-02-03 13:47:24,eten
12,1,2019-01-19 08:30:49,0,2019-02-02 13:28:43,drinken
2,1,2019-01-19 08:37:42,1,2019-02-03 12:30:50,eten
12,1,2019-01-19 08:39:48,0,2019-02-02 13:28:43,drinken
107,1,2019-01-19 08:48:14,0,2019-02-03 13:57:33,drinken
107,1,2019-01-19 09:03:38,0,2019-02-03 13:57:33,drinken
6,1,2019-01-19 09:09:03,0,2019-02-02 11:52:56,drinken
9,1,2019-01-19 09:14:36,0,2019-02-02 14:38:07,drinken
12,1,2019-01-19 09:20:48,0,2019-02-02 13:28:43,drinken
105,1,2019-01-19 09:35:39,0,2019-02-03 13:57:34,drinken
1,1,2019-01-19 10:17:05,0,2019-02-03 12:10:07,betalen
1,1,2019-01-19 10:28:58,0,2019-02-03 12:10:07,betalen
105,1,2019-01-19 10:37:59,0,2019-02-03 13:57:34,drinken
6,1,2019-01-19 10:39:25,0,2019-02-02 11:52:56,drinken
1,1,2019-01-19 10:42:18,0,2019-02-03 12:10:07,betalen
2,1,2019-01-19 10:49:18,1,2019-02-03 12:30:50,eten
107,1,2019-01-19 10:49:59,0,2019-02-03 13:57:33,drinken
1,1,2019-01-19 11:09:11,0,2019-02-03 12:10:07,betalen
103,1,2019-01-19 11:23:59,1,2019-02-02 14:17:06,drinken
8,1,2019-01-19 11:26:30,0,2019-02-03 13:47:28,eten
2,1,2019-01-19 11:30:45,1,2019-02-03 12:30:50,eten
107,1,2019-01-19 11:36:00,0,2019-02-03 13:57:33,drinken
105,1,2019-01-19 11:36:02,0,2019-02-03 13:57:34,drinken
107,1,2019-01-19 11:41:38,0,2019-02-03 13:57:33,drinken
109,1,2019-01-19 11:42:43,0,2019-02-03 16:41:44,eten
1,1,2019-01-19 11:44:53,0,2019-02-03 12:10:07,betalen
11,1,2019-01-19 11:46:35,0,2019-02-03 13:47:26,eten
13,1,2019-01-19 11:46:39,0,2019-02-03 13:47:24,eten
9,1,2019-01-19 11:49:03,0,2019-02-02 14:38:07,drinken
4,1,2019-01-19 11:56:10,0,2019-02-03 12:40:44,drinken
14,1,2019-01-19 11:58:48,1,2019-02-03 16:21:03,eten
8,1,2019-01-19 12:02:31,0,2019-02-03 13:47:28,eten
9,1,2019-01-19 12:07:16,0,2019-02-02 14:38:07,drinken
13,1,2019-01-19 12:07:50,0,2019-02-03 13:47:24,eten
11,1,2019-01-19 12:09:24,0,2019-02-03 13:47:26,eten
107,1,2019-01-19 12:16:28,0,2019-02-03 13:57:33,drinken
9,1,2019-01-19 12:23:01,0,2019-02-02 14:38:07,drinken
109,1,2019-01-19 12:23:37,0,2019-02-03 16:41:44,eten
107,1,2019-01-19 12:32:41,0,2019-02-03 13:57:33,drinken
7,1,2019-01-19 12:41:41,0,2019-02-04 15:43:16,drinken
109,1,2019-01-19 12:42:06,0,2019-02-03 16:41:44,eten
5,1,2019-01-19 12:45:20,0,2019-02-02 15:19:35,drinken
4,1,2019-01-19 12:49:48,0,2019-02-03 12:40:44,drinken
11,1,2019-01-19 12:50:11,0,2019-02-03 13:47:26,eten
13,1,2019-01-19 12:51:37,0,2019-02-03 13:47:24,eten
1,1,2019-01-19 12:53:09,0,2019-02-03 12:10:07,betalen
12,1,2019-01-19 12:53:58,0,2019-02-02 13:28:43,drinken
3,1,2019-01-19 12:56:28,0,2019-02-02 15:03:39,drinken
4,1,2019-01-19 13:13:39,0,2019-02-03 12:40:44,drinken
12,1,2019-01-19 13:14:40,0,2019-02-02 13:28:43,drinken
3,1,2019-01-19 13:25:58,0,2019-02-02 15:03:39,drinken
7,1,2019-01-19 13:37:18,0,2019-02-04 15:43:16,drinken
8,1,2019-01-19 13:44:21,0,2019-02-03 13:47:28,eten
14,1,2019-01-19 14:01:17,1,2019-02-03 16:21:03,eten
5,1,2019-01-19 14:07:33,0,2019-02-02 15:19:35,drinken
2,1,2019-01-19 14:09:25,1,2019-02-03 12:30:50,eten
10,1,2019-01-19 14:14:36,0,2019-02-02 12:37:23,eten
8,1,2019-01-19 14:18:16,0,2019-02-03 13:47:28,eten
8,1,2019-01-19 14:26:11,0,2019-02-03 13:47:28,eten
2,1,2019-01-19 14:40:22,1,2019-02-03 12:30:50,eten
14,1,2019-01-19 14:40:39,1,2019-02-03 16:21:03,eten
1,1,2019-01-19 14:44:29,0,2019-02-03 12:10:07,betalen
1,1,2019-01-19 14:50:32,0,2019-02-03 12:10:07,betalen
10,1,2019-01-19 14:52:14,0,2019-02-02 12:37:23,eten
9,1,2019-01-19 14:59:33,0,2019-02-02 14:38:07,drinken
103,1,2019-01-19 15:01:09,1,2019-02-02 14:17:06,drinken
109,1,2019-01-19 15:15:28,0,2019-02-03 16:41:44,eten
1,1,2019-01-19 15:46:28,0,2019-02-03 12:10:07,betalen
3,1,2019-01-19 16:04:47,0,2019-02-02 15:03:39,drinken
12,1,2019-01-19 17:31:30,0,2019-02-02 13:28:43,drinken
11,1,2019-01-19 17:31:37,0,2019-02-03 13:47:26,eten
13,1,2019-01-19 17:31:42,0,2019-02-03 13:47:24,eten
14,1,2019-01-19 17:42:18,1,2019-02-03 16:21:03,eten
105,1,2019-01-20 10:47:55,0,2019-02-03 13:57:34,drinken
6,1,2019-01-20 10:48:26,0,2019-02-02 11:52:56,drinken
10,1,2019-01-20 11:12:57,0,2019-02-02 12:37:23,eten
109,1,2019-01-20 12:43:54,0,2019-02-03 16:41:44,eten
10,1,2019-01-20 12:44:45,0,2019-02-02 12:37:23,eten
10,1,2019-01-20 13:24:53,0,2019-02-02 12:37:23,eten
6,1,2019-01-20 13:28:41,0,2019-02-02 11:52:56,drinken
103,1,2019-01-20 13:38:08,1,2019-02-02 14:17:06,drinken
13,1,2019-01-20 13:46:37,0,2019-02-03 13:47:24,eten
2,1,2019-01-20 13:52:08,1,2019-02-03 12:30:50,eten
13,1,2019-01-20 13:52:49,0,2019-02-03 13:47:24,eten
4,1,2019-01-20 13:57:14,0,2019-02-03 12:40:44,drinken
